gene,expt,time,expression
YOR048C,alpha,0,0.11
YOR049C,alpha,0,0.09
YOR050C,alpha,0,0.98
YOR051C,alpha,0,0.4
YOR052C,alpha,0,1.35
YOR053W,alpha,0,0.15
YOR054C,alpha,0,0.21
YOR055W,alpha,0,-0.06
YOR056C,alpha,0,0.09
YOR057W,alpha,0,0.12
YOR058C,alpha,0,-0.72
YOR059C,alpha,0,0.05
YOR060C,alpha,0,0.18
YOR061W,alpha,0,0.1
YOR062C,alpha,0,0.46
YOR063W,alpha,0,0.2
YOR064C,alpha,0,-0.12
YOR065W,alpha,0,-0.22
YOR066W,alpha,0,-0.01
YOR067C,alpha,0,0.03
YOR068C,alpha,0,0.12
YOR069W,alpha,0,0.03
YOR070C,alpha,0,-0.18
YOR071C,alpha,0,0.11
YOR072W,alpha,0,-0.1
YOR073W,alpha,0,-0.54
YOR074C,alpha,0,-1.14
YOR075W,alpha,0,0.16
YOR076C,alpha,0,-0.13
YOR077W,alpha,0,-0.02
YOR078W,alpha,0,0.05
YOR079C,alpha,0,0.29
YOR080W,alpha,0,0.06
YOR081C,alpha,0,0.12
YOR082C,alpha,0,-0.28
YOR083W,alpha,0,-0.46
YOR084W,alpha,0,-0.34
YOR085W,alpha,0,-0.17
YOR086C,alpha,0,-0.1
YOR087W,alpha,0,0.03
YOR088W,alpha,0,-0.1
YOR089C,alpha,0,0.19
YOR090C,alpha,0,0
YOR091W,alpha,0,-0.06
YOR092W,alpha,0,0.03
YOR093C,alpha,0,-0.32
YOR094W,alpha,0,0.03
YOR095C,alpha,0,0.45
YOR096W,alpha,0,0.01
YOR097C,alpha,0,0.08
YOR098C,alpha,0,0.18
YOR099W,alpha,0,-0.31
YOR100C,alpha,0,-0.06
YOR101W,alpha,0,0.14
YOR102W,alpha,0,0.13
YOR103C,alpha,0,-0.02
YOR104W,alpha,0,0.14
YOR105W,alpha,0,0.19
YOR106W,alpha,0,0.18
YOR107W,alpha,0,0.4
YOR108W,alpha,0,0.21
YOR109W,alpha,0,-0.01
YOR110W,alpha,0,-0.24
YOR111W,alpha,0,-0.1
YOR112W,alpha,0,-0.35
YOR113W,alpha,0,-0.29
YOR114W,alpha,0,-0.4
YOR115C,alpha,0,0.02
YOR116C,alpha,0,0.09
YOR117W,alpha,0,0.07
YOR118W,alpha,0,0.11
YOR119C,alpha,0,0.01
YOR120W,alpha,0,0.1
YOR121C,alpha,0,0.09
YOR122C,alpha,0,0.09
YOR123C,alpha,0,0
YOR124C,alpha,0,0.01
YOR125C,alpha,0,0.07
YOR126C,alpha,0,0.4
YOR127W,alpha,0,0.19
YOR128C,alpha,0,-0.27
YOR129C,alpha,0,0.33
YOR130C,alpha,0,1.03
YOR131C,alpha,0,0.07
YOR132W,alpha,0,-0.07
YOR133W,alpha,0,0.16
YOR134W,alpha,0,1.02
YOR135C,alpha,0,-0.15
YOR136W,alpha,0,-0.06
YOR137C,alpha,0,0.65
YOR138C,alpha,0,-0.14
YOR139C,alpha,0,0.02
YOR140W,alpha,0,-0.09
YOR141C,alpha,0,-0.06
YOR142W,alpha,0,-0.08
YOR143C,alpha,0,0.07
YOR144C,alpha,0,-0.49
YOR145C,alpha,0,0.17
YOR146W,alpha,0,0.11
YOR147W,alpha,0,NA
YOR148C,alpha,0,-0.19
YOR149C,alpha,0,0.03
YOR150W,alpha,0,-0.03
YOR151C,alpha,0,-0.14
YOR152C,alpha,0,-0.04
YOR153W,alpha,0,-0.15
YOR154W,alpha,0,0.12
YOR155C,alpha,0,0.34
YOR156C,alpha,0,0.02
YOR157C,alpha,0,0.05
YOR158W,alpha,0,0.02
YOR159C,alpha,0,0.15
YOR160W,alpha,0,0.12
YOR161C,alpha,0,-0.1
YOR162C,alpha,0,0
YOR163W,alpha,0,0.17
YOR164C,alpha,0,0.09
YOR165W,alpha,0,-0.14
YOR166C,alpha,0,-0.11
YOR167C,alpha,0,0.27
YOR168W,alpha,0,0.04
YOR169C,alpha,0,0.29
YOR170W,alpha,0,-0.19
YOR171C,alpha,0,-0.1
YOR172W,alpha,0,-0.19
YOR173W,alpha,0,-0.44
YOR174W,alpha,0,0.34
YOR175C,alpha,0,-0.02
YOR176W,alpha,0,-0.18
YOR177C,alpha,0,0.48
YOR178C,alpha,0,-0.11
YOR179C,alpha,0,0.39
YOR180C,alpha,0,0.15
YOR181W,alpha,0,-0.02
YOR182C,alpha,0,0.17
YOR183W,alpha,0,NA
YOR184W,alpha,0,-0.16
YOR185C,alpha,0,0.08
YOR186W,alpha,0,0.03
YOR187W,alpha,0,-0.13
YOR188W,alpha,0,-0.04
YOR189W,alpha,0,-0.04
YOR190W,alpha,0,-0.11
YOR191W,alpha,0,-0.03
YOR192C,alpha,0,0.14
YOR193W,alpha,0,0.64
YOR194C,alpha,0,-0.21
YOR195W,alpha,0,-0.29
YOR196C,alpha,0,NA
YOR197W,alpha,0,0.06
YOR198C,alpha,0,-0.17
YOR199W,alpha,0,0.06
YOR200W,alpha,0,NA
YOR201C,alpha,0,0.01
YOR202W,alpha,0,0.1
YOR203W,alpha,0,-0.03
YOR204W,alpha,0,0.22
YOR205C,alpha,0,0.14
YOR206W,alpha,0,0.28
YOR207C,alpha,0,0.31
YOR208W,alpha,0,0.45
YOR209C,alpha,0,0.43
YOR210W,alpha,0,0.16
YOR211C,alpha,0,-0.35
YOR212W,alpha,0,0.51
YOR213C,alpha,0,0.22
YOR214C,alpha,0,-0.08
YOR215C,alpha,0,0.37
YOR216C,alpha,0,-0.24
YOR217W,alpha,0,-0.05
YOR218C,alpha,0,-0.19
YOR219C,alpha,0,0.29
YOR220W,alpha,0,1.19
YOR221C,alpha,0,0.12
YOR222W,alpha,0,-0.15
YOR223W,alpha,0,-0.06
YOR224C,alpha,0,0.31
YOR225W,alpha,0,0.41
YOR226C,alpha,0,-0.09
YOR227W,alpha,0,-0.41
YOR228C,alpha,0,NA
YOR229W,alpha,0,0.49
YOR230W,alpha,0,0.22
YOR231W,alpha,0,0.11
YOR232W,alpha,0,0.06
YOR233W,alpha,0,-0.16
YOR234C,alpha,0,0.11
YOR235W,alpha,0,0.18
YOR236W,alpha,0,0.19
YOR237W,alpha,0,-0.04
YOR238W,alpha,0,0.74
YOR239W,alpha,0,0.25
YOR240W,alpha,0,0.03
YOR241W,alpha,0,0
YOR242C,alpha,0,0.29
YOR243C,alpha,0,0.11
YOR244W,alpha,0,0
YOR245C,alpha,0,0.01
YOR246C,alpha,0,-0.33
YOR247W,alpha,0,-1.73
YOR248W,alpha,0,-1.11
YOR249C,alpha,0,-0.04
YOR250C,alpha,0,0.09
YOR251C,alpha,0,-0.12
YOR252W,alpha,0,0.26
YOR253W,alpha,0,0.16
YOR254C,alpha,0,0.21
YOR255W,alpha,0,0.24
YOR256C,alpha,0,0.21
YOR257W,alpha,0,0.19
YOR258W,alpha,0,-0.01
YOR259C,alpha,0,-0.05
YOR260W,alpha,0,0.09
YOR261C,alpha,0,0.09
YOR262W,alpha,0,-0.46
YOR263C,alpha,0,-0.49
YOR264W,alpha,0,-0.66
YOR265W,alpha,0,-0.08
YOR266W,alpha,0,-0.06
YOR267C,alpha,0,0.35
YOR268C,alpha,0,0.37
YOR269W,alpha,0,-0.1
YOR270C,alpha,0,0.24
YOR271C,alpha,0,0.06
YOR272W,alpha,0,0.2
YOR273C,alpha,0,0.5
YOR274W,alpha,0,0.26
YOR275C,alpha,0,-0.02
YOR276W,alpha,0,0.08
YOR277C,alpha,0,-0.06
YOR278W,alpha,0,-0.01
YOR279C,alpha,0,-0.07
YOR280C,alpha,0,0.25
YOR281C,alpha,0,0.02
YOR282W,alpha,0,0.15
YOR283W,alpha,0,0.25
YOR284W,alpha,0,-0.37
YOR285W,alpha,0,0.08
YOR286W,alpha,0,0.2
YOR287C,alpha,0,0.24
YOR288C,alpha,0,0.22
YOR289W,alpha,0,0.06
YOR290C,alpha,0,0.49
YOR291W,alpha,0,-0.17
YOR292C,alpha,0,0.1
YOR293W,alpha,0,-0.14
YOR294W,alpha,0,-0.03
YOR295W,alpha,0,0.12
YOR296W,alpha,0,0.39
YOR297C,alpha,0,0.26
YOR298W,alpha,0,-0.16
YOR299W,alpha,0,0
YOR300W,alpha,0,0.09
YOR301W,alpha,0,-0.66
YOR302W,alpha,0,0.02
YOR303W,alpha,0,-0.04
YOR304C-A,alpha,0,NA
YOR304W,alpha,0,-0.12
YOR305W,alpha,0,0.03
YOR306C,alpha,0,0.8
YOR307C,alpha,0,-0.18
YOR308C,alpha,0,0.09
YOR309C,alpha,0,0.15
YOR310C,alpha,0,0.18
YOR311C,alpha,0,-0.01
YOR312C,alpha,0,0.03
YOR313C,alpha,0,-0.25
YOR314W,alpha,0,0.09
YOR315W,alpha,0,-0.96
YOR316C,alpha,0,-0.32
YOR317W,alpha,0,0.01
YOR318C,alpha,0,-0.1
YOR319W,alpha,0,-0.49
YOR320C,alpha,0,-0.39
YOR321W,alpha,0,-0.43
YOR322C,alpha,0,-0.09
YOR323C,alpha,0,0.1
YOR324C,alpha,0,-0.06
YOR325W,alpha,0,0.19
YOR326W,alpha,0,-0.17
YOR327C,alpha,0,-0.01
YOR328W,alpha,0,0.07
YOR329C,alpha,0,0.02
YOR330C,alpha,0,-0.28
YOR331C,alpha,0,0.06
YOR332W,alpha,0,0.11
YOR333C,alpha,0,0.05
YOR334W,alpha,0,0.16
YOR335C,alpha,0,0.27
YOR336W,alpha,0,-0.12
YOR337W,alpha,0,0.48
YOR338W,alpha,0,1.49
YOR339C,alpha,0,0.17
YOR340C,alpha,0,0.11
YOR341W,alpha,0,0.2
YOR342C,alpha,0,1.23
YOR343C,alpha,0,NA
YOR344C,alpha,0,1.2
YOR345C,alpha,0,-0.1
YOR346W,alpha,0,-0.22
YOR347C,alpha,0,0.58
YOR348C,alpha,0,-0.08
YOR349W,alpha,0,-0.04
YOR350C,alpha,0,0.01
YOR351C,alpha,0,-0.06
YOR352W,alpha,0,0
YOR353C,alpha,0,0.04
YOR354C,alpha,0,-0.03
YOR355W,alpha,0,-0.13
YOR356W,alpha,0,-0.07
YOR357C,alpha,0,-0.23
YOR358W,alpha,0,-0.08
YOR359W,alpha,0,0.21
YOR360C,alpha,0,0.49
YOR361C,alpha,0,0.13
YOR362C,alpha,0,-0.05
YOR363C,alpha,0,0.05
YOR364W,alpha,0,-0.02
YOR365C,alpha,0,0.18
YOR366W,alpha,0,0.04
YOR367W,alpha,0,0.11
YOR368W,alpha,0,0
YOR369C,alpha,0,0.29
YOR370C,alpha,0,-0.22
YOR371C,alpha,0,-0.21
YOR372C,alpha,0,-0.83
YOR373W,alpha,0,-0.47
YOR374W,alpha,0,-0.32
YOR375C,alpha,0,0.03
YOR376W,alpha,0,0.18
YOR377W,alpha,0,0.19
YOR378W,alpha,0,-0.28
YOR379C,alpha,0,0.15
YOR380W,alpha,0,0.19
YOR381W,alpha,0,NA
YOR382W,alpha,0,-2.1
YOR383C,alpha,0,-0.92
YOR384W,alpha,0,0.38
YOR385W,alpha,0,1.67
YOR386W,alpha,0,-0.09
YOR387C,alpha,0,NA
YOR388C,alpha,0,-0.63
YOR389W,alpha,0,0.08
YOR390W,alpha,0,-0.27
YOR391C,alpha,0,0.2
YOR392W,alpha,0,-0.05
YOR393W,alpha,0,0
YOR394W,alpha,0,0
YPL001W,alpha,0,-0.08
YPL002C,alpha,0,-0.02
YPL003W,alpha,0,0.16
YPL004C,alpha,0,-0.16
YPL005W,alpha,0,0.3
YPL006W,alpha,0,0.08
YPL007C,alpha,0,-0.14
YPL008W,alpha,0,0.87
YPL009C,alpha,0,0.14
YPL010W,alpha,0,-0.11
YPL011C,alpha,0,-0.04
YPL012W,alpha,0,0.28
YPL013C,alpha,0,0.03
YPL014W,alpha,0,-0.21
YPL015C,alpha,0,-0.35
YPL016W,alpha,0,0.33
YPL017C,alpha,0,-0.6
YPL018W,alpha,0,-0.8
YPL019C,alpha,0,-0.75
YPL020C,alpha,0,0.21
YPL021W,alpha,0,0.23
YPL022W,alpha,0,0.18
YPL023C,alpha,0,0
YPL024W,alpha,0,-0.18
YPL025C,alpha,0,-0.22
YPL026C,alpha,0,-0.22
YPL027W,alpha,0,0.14
YPL028W,alpha,0,-0.03
YPL029W,alpha,0,-0.12
YPL030W,alpha,0,0.21
YPL031C,alpha,0,0.03
YPL032C,alpha,0,-0.19
YPL033C,alpha,0,0.43
YPL034W,alpha,0,0.07
YPL035C,alpha,0,0.25
YPL036W,alpha,0,-0.28
YPL037C,alpha,0,0.22
YPL038W,alpha,0,0.13
YPL039W,alpha,0,0.02
YPL040C,alpha,0,-0.17
YPL041C,alpha,0,0.09
YPL042C,alpha,0,0.24
YPL043W,alpha,0,0.18
YPL044C,alpha,0,0.2
YPL045W,alpha,0,0.09
YPL046C,alpha,0,0.02
YPL047W,alpha,0,0.05
YPL048W,alpha,0,0.14
YPL049C,alpha,0,0.28
YPL050C,alpha,0,-0.13
YPL051W,alpha,0,0.18
YPL052W,alpha,0,0.33
YPL053C,alpha,0,-0.03
YPL054W,alpha,0,0.03
YPL055C,alpha,0,-0.41
YPL056C,alpha,0,-0.14
YPL057C,alpha,0,0.06
YPL058C,alpha,0,0.52
YPL059W,alpha,0,-0.04
YPL060W,alpha,0,0.45
YPL061W,alpha,0,-0.06
YPL062W,alpha,0,0.4
YPL063W,alpha,0,0.02
YPL064C,alpha,0,0.26
YPL065W,alpha,0,-0.09
YPL066W,alpha,0,-0.01
YPL067C,alpha,0,-0.26
YPL068C,alpha,0,-0.02
YPL069C,alpha,0,-0.11
YPL070W,alpha,0,0.38
YPL071C,alpha,0,0.12
YPL072W,alpha,0,-0.15
YPL073C,alpha,0,-0.09
YPL074W,alpha,0,0.13
YPL075W,alpha,0,-0.25
YPL076W,alpha,0,0
YPL077C,alpha,0,0.15
YPL078C,alpha,0,-0.02
YPL079W,alpha,0,0.08
YPL080C,alpha,0,0.04
YPL081W,alpha,0,-0.07
YPL082C,alpha,0,0.21
YPL083C,alpha,0,-0.21
YPL084W,alpha,0,0.04
YPL085W,alpha,0,0.2
YPL086C,alpha,0,0.15
YPL087W,alpha,0,0.54
YPL088W,alpha,0,1.71
YPL089C,alpha,0,0.94
YPL090C,alpha,0,0.09
YPL091W,alpha,0,0
YPL092W,alpha,0,0.46
YPL093W,alpha,0,0.09
YPL094C,alpha,0,0.23
YPL095C,alpha,0,0.22
YPL096W,alpha,0,0.25
YPL097W,alpha,0,-0.1
YPL098C,alpha,0,0.12
YPL099C,alpha,0,-0.1
YPL100W,alpha,0,0.2
YPL101W,alpha,0,-0.22
YPL102C,alpha,0,NA
YPL103C,alpha,0,0.14
YPL104W,alpha,0,0.12
YPL105C,alpha,0,-0.15
YPL106C,alpha,0,0.01
YPL107W,alpha,0,0.31
YPL108W,alpha,0,0.14
YPL109C,alpha,0,0.15
YPL110C,alpha,0,0.07
YPL111W,alpha,0,-0.77
YPL112C,alpha,0,-0.22
YPL113C,alpha,0,0.02
YPL114W,alpha,0,0.03
YPL115C,alpha,0,NA
YPL116W,alpha,0,-0.47
YPL117C,alpha,0,NA
YPL118W,alpha,0,0.02
YPL119C,alpha,0,0.58
YPL120W,alpha,0,-0.16
YPL121C,alpha,0,0.27
YPL122C,alpha,0,0.1
YPL123C,alpha,0,0.09
YPL124W,alpha,0,-0.46
YPL125W,alpha,0,0.01
YPL126W,alpha,0,0.09
YPL127C,alpha,0,-1.99
YPL128C,alpha,0,-0.48
YPL129W,alpha,0,0.15
YPL130W,alpha,0,-0.06
YPL131W,alpha,0,0.16
YPL132W,alpha,0,0.3
YPL133C,alpha,0,-0.04
YPL134C,alpha,0,0.15
YPL135W,alpha,0,0.03
YPL136W,alpha,0,0.21
YPL137C,alpha,0,0.07
YPL138C,alpha,0,-0.16
YPL139C,alpha,0,0.03
YPL140C,alpha,0,-0.09
YPL141C,alpha,0,-0.87
YPL142C,alpha,0,0.17
YPL143W,alpha,0,0.2
YPL144W,alpha,0,-0.42
YPL145C,alpha,0,-0.29
YPL146C,alpha,0,0.33
YPL147W,alpha,0,0.1
YPL148C,alpha,0,0.14
YPL149W,alpha,0,0.67
YPL150W,alpha,0,-0.42
YPL151C,alpha,0,0.04
YPL152W,alpha,0,-0.17
YPL153C,alpha,0,-0.59
YPL154C,alpha,0,0.09
YPL155C,alpha,0,-0.74
YPL156C,alpha,0,2.48
YPL157W,alpha,0,0.44
YPL158C,alpha,0,-1.16
YPL159C,alpha,0,0.23
YPL160W,alpha,0,-0.02
YPL161C,alpha,0,-0.13
YPL162C,alpha,0,-0.16
YPL163C,alpha,0,-2.42
YPL164C,alpha,0,-0.63
YPL165C,alpha,0,0.27
YPL166W,alpha,0,0.1
YPL167C,alpha,0,0.06
YPL168W,alpha,0,-0.12
YPL169C,alpha,0,0.03
YPL170W,alpha,0,0.13
YPL171C,alpha,0,0.06
YPL172C,alpha,0,0.02
YPL173W,alpha,0,0.01
YPL174C,alpha,0,0.03
YPL175W,alpha,0,0.22
YPL176C,alpha,0,-0.21
YPL177C,alpha,0,0.69
YPL178W,alpha,0,0.14
YPL179W,alpha,0,0.12
YPL180W,alpha,0,0.19
YPL181W,alpha,0,0.3
YPL182C,alpha,0,0.23
YPL183C,alpha,0,0.49
YPL184C,alpha,0,-0.43
YPL185W,alpha,0,NA
YPL186C,alpha,0,-0.56
YPL187W,alpha,0,-0.09
YPL188W,alpha,0,0.2
YPL189W,alpha,0,0.06
YPL190C,alpha,0,-0.11
YPL191C,alpha,0,0.16
YPL192C,alpha,0,2.89
YPL193W,alpha,0,0.64
YPL194W,alpha,0,NA
YPL195W,alpha,0,0.02
YPL196W,alpha,0,0.11
YPL197C,alpha,0,NA
YPL198W,alpha,0,0.08
YPL199C,alpha,0,NA
YPL200W,alpha,0,0.1
YPL201C,alpha,0,0.15
YPL202C,alpha,0,0.18
YPL203W,alpha,0,0.05
YPL204W,alpha,0,0.4
YPL205C,alpha,0,0.21
YPL206C,alpha,0,0.21
YPL207W,alpha,0,-0.09
YPL208W,alpha,0,-0.25
YPL209C,alpha,0,-0.41
YPL210C,alpha,0,0.09
YPL211W,alpha,0,0.19
YPL212C,alpha,0,0.07
YPL213W,alpha,0,0.14
YPL214C,alpha,0,0.13
YPL215W,alpha,0,0.01
YPL216W,alpha,0,-0.11
YPL217C,alpha,0,0.16
YPL218W,alpha,0,-0.17
YPL219W,alpha,0,-0.12
YPL220W,alpha,0,0.18
YPL221W,alpha,0,-0.35
YPL222W,alpha,0,-0.2
YPL223C,alpha,0,0.11
YPL224C,alpha,0,0.22
YPL225W,alpha,0,0.05
YPL226W,alpha,0,0.29
YPL227C,alpha,0,-0.67
YPL228W,alpha,0,-0.14
YPL229W,alpha,0,0.17
YPL230W,alpha,0,0.21
YPL231W,alpha,0,0.32
YPL232W,alpha,0,0.22
YPL233W,alpha,0,0.02
YPL234C,alpha,0,0.27
YPL235W,alpha,0,0.27
YPL236C,alpha,0,0.16
YPL237W,alpha,0,0.15
YPL238C,alpha,0,0.38
YPL239W,alpha,0,-0.08
YPL240C,alpha,0,-0.05
YPL241C,alpha,0,-0.37
YPL242C,alpha,0,-0.94
YPL243W,alpha,0,-0.05
YPL244C,alpha,0,-0.05
YPL245W,alpha,0,0.05
YPL246C,alpha,0,0.41
YPL247C,alpha,0,0.14
YPL248C,alpha,0,0.1
YPL249C,alpha,0,0.4
YPL250C,alpha,0,-0.18
YPL251W,alpha,0,-0.09
YPL252C,alpha,0,0.16
YPL253C,alpha,0,-0.69
YPL254W,alpha,0,0.16
YPL255W,alpha,0,-0.87
YPL256C,alpha,0,-1.41
YPL257W,alpha,0,0.04
YPL258C,alpha,0,0
YPL259C,alpha,0,0.27
YPL260W,alpha,0,-0.07
YPL261C,alpha,0,0.14
YPL262W,alpha,0,-0.06
YPL263C,alpha,0,0.06
YPL264C,alpha,0,-0.3
YPL265W,alpha,0,-1.12
YPL266W,alpha,0,0
YPL267W,alpha,0,-1.12
YPL268W,alpha,0,-0.09
YPL269W,alpha,0,-0.58
YPL270W,alpha,0,0.09
YPL271W,alpha,0,0.16
YPL272C,alpha,0,-0.21
YPL273W,alpha,0,0.17
YPL274W,alpha,0,0.15
YPL275W,alpha,0,0.07
YPL276W,alpha,0,0.21
YPL277C,alpha,0,0.19
YPL278C,alpha,0,0.08
YPL279C,alpha,0,0.09
YPL280W,alpha,0,0.16
YPL281C,alpha,0,0.13
YPL282C,alpha,0,0.06
YPL283C,alpha,0,-0.35
YPR001W,alpha,0,0.05
YPR002W,alpha,0,-0.12
YPR003C,alpha,0,-0.41
YPR004C,alpha,0,-0.07
YPR005C,alpha,0,-0.08
YPR006C,alpha,0,-0.06
YPR007C,alpha,0,0.06
YPR008W,alpha,0,0.29
YPR009W,alpha,0,-0.02
YPR010C,alpha,0,0.25
YPR011C,alpha,0,-0.04
YPR012W,alpha,0,NA
YPR013C,alpha,0,0.2
YPR014C,alpha,0,0.3
YPR015C,alpha,0,-0.25
YPR016C,alpha,0,0.36
YPR017C,alpha,0,-0.09
YPR018W,alpha,0,-0.36
YPR019W,alpha,0,-0.31
YPR020W,alpha,0,0.38
YPR021C,alpha,0,0.05
YPR022C,alpha,0,0.18
YPR023C,alpha,0,-0.09
YPR024W,alpha,0,0.03
YPR025C,alpha,0,-0.12
YPR026W,alpha,0,-0.14
YPR027C,alpha,0,0.7
YPR028W,alpha,0,0.09
YPR029C,alpha,0,-0.01
YPR030W,alpha,0,0.13
YPR031W,alpha,0,-0.32
YPR032W,alpha,0,-0.07
YPR033C,alpha,0,0.3
YPR034W,alpha,0,-0.12
YPR035W,alpha,0,0.72
YPR036W,alpha,0,0.2
YPR037C,alpha,0,-0.08
YPR038W,alpha,0,0.11
YPR039W,alpha,0,-0.09
YPR040W,alpha,0,-0.03
YPR041W,alpha,0,0.19
YPR042C,alpha,0,0.04
YPR043W,alpha,0,0.02
YPR044C,alpha,0,0.25
YPR045C,alpha,0,-0.08
YPR046W,alpha,0,-0.15
YPR047W,alpha,0,0.31
YPR048W,alpha,0,0.21
YPR049C,alpha,0,0.02
YPR050C,alpha,0,0.09
YPR051W,alpha,0,-0.07
YPR052C,alpha,0,0.11
YPR053C,alpha,0,-0.33
YPR054W,alpha,0,-0.13
YPR055W,alpha,0,-0.55
YPR056W,alpha,0,-0.21
YPR057W,alpha,0,-0.13
YPR058W,alpha,0,0.04
YPR059C,alpha,0,0.02
YPR060C,alpha,0,0.25
YPR061C,alpha,0,0.16
YPR062W,alpha,0,0.09
YPR063C,alpha,0,0.04
YPR064W,alpha,0,-0.1
YPR065W,alpha,0,0.1
YPR066W,alpha,0,0.47
YPR067W,alpha,0,0.06
YPR068C,alpha,0,0
YPR069C,alpha,0,0.25
YPR070W,alpha,0,0.07
YPR071W,alpha,0,-0.03
YPR072W,alpha,0,0
YPR073C,alpha,0,0.1
YPR074C,alpha,0,0.17
YPR075C,alpha,0,-0.01
YPR076W,alpha,0,-0.02
YPR077C,alpha,0,0.15
YPR078C,alpha,0,0.41
YPR079W,alpha,0,0.21
YPR080W,alpha,0,0.06
YPR081C,alpha,0,0.34
YPR082C,alpha,0,-0.02
YPR083W,alpha,0,-0.18
YPR084W,alpha,0,0.14
YPR085C,alpha,0,0.1
YPR086W,alpha,0,0.18
YPR087W,alpha,0,0.06
YPR088C,alpha,0,0.02
YPR089W,alpha,0,0.03
YPR090W,alpha,0,-0.04
YPR091C,alpha,0,-0.22
YPR092W,alpha,0,-0.08
YPR093C,alpha,0,0.12
YPR094W,alpha,0,0.22
YPR095C,alpha,0,-0.08
YPR096C,alpha,0,-0.01
YPR097W,alpha,0,0.19
YPR098C,alpha,0,0.01
YPR099C,alpha,0,0.01
YPR100W,alpha,0,-0.02
YPR101W,alpha,0,0.14
YPR102C,alpha,0,0
YPR103W,alpha,0,0.09
YPR104C,alpha,0,-0.72
YPR105C,alpha,0,-0.09
YPR106W,alpha,0,-0.45
YPR107C,alpha,0,-0.02
YPR108W,alpha,0,-0.1
YPR109W,alpha,0,0.14
YPR110C,alpha,0,0.11
YPR111W,alpha,0,-0.03
YPR112C,alpha,0,0.38
YPR113W,alpha,0,0.12
YPR114W,alpha,0,-0.14
YPR115W,alpha,0,0.23
YPR116W,alpha,0,0.26
YPR117W,alpha,0,-0.44
YPR118W,alpha,0,0.17
YPR119W,alpha,0,-2.36
YPR120C,alpha,0,-0.98
YPR121W,alpha,0,-0.15
YPR122W,alpha,0,NA
YPR123C,alpha,0,-0.46
YPR124W,alpha,0,-0.99
YPR125W,alpha,0,0.14
YPR126C,alpha,0,0.22
YPR127W,alpha,0,-0.19
YPR128C,alpha,0,-0.3
YPR129W,alpha,0,-0.15
YPR130C,alpha,0,-0.28
YPR131C,alpha,0,NA
YPR132W,alpha,0,0.07
YPR133C,alpha,0,0.1
YPR134W,alpha,0,0.03
YPR135W,alpha,0,-0.39
YPR136C,alpha,0,-0.12
YPR137W,alpha,0,-0.12
YPR138C,alpha,0,-0.26
YPR139C,alpha,0,0.06
YPR140W,alpha,0,0.26
YPR141C,alpha,0,1.87
YPR142C,alpha,0,0.36
YPR143W,alpha,0,0.44
YPR144C,alpha,0,0.36
YPR145W,alpha,0,-0.05
YPR146C,alpha,0,0.3
YPR147C,alpha,0,0.14
YPR148C,alpha,0,0.04
YPR149W,alpha,0,-1.98
YPR150W,alpha,0,-0.15
YPR151C,alpha,0,0
YPR152C,alpha,0,-0.12
YPR153W,alpha,0,-0.15
YPR154W,alpha,0,0.21
YPR155C,alpha,0,0.09
YPR156C,alpha,0,0.09
YPR157W,alpha,0,0.6
YPR158W,alpha,0,0.08
YPR159W,alpha,0,0.17
YPR160W,alpha,0,NA
YPR161C,alpha,0,-0.05
YPR162C,alpha,0,-0.1
YPR163C,alpha,0,0.15
YPR164W,alpha,0,-0.29
YPR165W,alpha,0,0.34
YPR166C,alpha,0,0.08
YPR167C,alpha,0,0.07
YPR168W,alpha,0,-0.06
YPR169W,alpha,0,0.21
YPR170C,alpha,0,0.71
YPR171W,alpha,0,-0.33
YPR172W,alpha,0,0.45
YPR173C,alpha,0,-0.11
YPR174C,alpha,0,-0.24
YPR175W,alpha,0,-0.41
YPR176C,alpha,0,-0.01
YPR177C,alpha,0,0
YPR178W,alpha,0,0.02
YPR179C,alpha,0,-0.08
YPR180W,alpha,0,0.07
YPR181C,alpha,0,-0.02
YPR182W,alpha,0,-0.05
YPR183W,alpha,0,0.08
YPR184W,alpha,0,-0.12
YPR185W,alpha,0,-0.36
YPR186C,alpha,0,0.1
YPR187W,alpha,0,0.11
YPR188C,alpha,0,0.01
YPR189W,alpha,0,-0.51
YPR190C,alpha,0,0.14
YPR191W,alpha,0,-0.06
YPR192W,alpha,0,-0.2
YPR193C,alpha,0,-0.06
YPR194C,alpha,0,-0.1
YPR195C,alpha,0,-0.26
YPR196W,alpha,0,0.04
YPR197C,alpha,0,-0.11
YPR198W,alpha,0,0.23
YPR199C,alpha,0,0.14
YPR200C,alpha,0,-0.09
YPR201W,alpha,0,0.14
YPR202W,alpha,0,-0.79
YPR203W,alpha,0,-0.68
YPR204W,alpha,0,-0.37
YAL001C,alpha,7,-0.15
YAL002W,alpha,7,0.1
YAL003W,alpha,7,-0.71
YAL004W,alpha,7,-0.48
YAL005C,alpha,7,-0.53
YAL007C,alpha,7,-0.45
YAL008W,alpha,7,-0.22
YAL009W,alpha,7,-0.27
YAL010C,alpha,7,0.13
YAL011W,alpha,7,-0.43
YAL012W,alpha,7,-0.33
YAL013W,alpha,7,-0.19
YAL014C,alpha,7,-0.15
YAL015C,alpha,7,-0.01
YAL016W,alpha,7,0.01
YAL017W,alpha,7,-0.22
YAL018C,alpha,7,0.28
YAL019W,alpha,7,-0.95
YAL020C,alpha,7,-0.29
YAL021C,alpha,7,-0.17
YAL022C,alpha,7,-0.42
